 * training Accuracy,output1: 70.398 * Accuracy,output2: 69.955
 * vail Accuracy,output1: 79.347 * vail  Accuracy,output2: 75.454
 * training Accuracy,output1: 81.018 * Accuracy,output2: 81.487
 * vail Accuracy,output1: 80.205 * vail  Accuracy,output2: 82.250
 * training Accuracy,output1: 83.852 * Accuracy,output2: 84.222
 * vail Accuracy,output1: 82.613 * vail  Accuracy,output2: 78.621
 * training Accuracy,output1: 87.014 * Accuracy,output2: 86.554
 * vail Accuracy,output1: 83.669 * vail  Accuracy,output2: 82.613
 * training Accuracy,output1: 88.287 * Accuracy,output2: 88.624
 * vail Accuracy,output1: 83.603 * vail  Accuracy,output2: 81.359
 * training Accuracy,output1: 88.016 * Accuracy,output2: 87.499
 * vail Accuracy,output1: 83.174 * vail  Accuracy,output2: 79.116
 * training Accuracy,output1: 89.618 * Accuracy,output2: 89.577
 * vail Accuracy,output1: 83.966 * vail  Accuracy,output2: 83.603
 * training Accuracy,output1: 91.187 * Accuracy,output2: 91.483
 * vail Accuracy,output1: 80.864 * vail  Accuracy,output2: 81.425
 * training Accuracy,output1: 91.975 * Accuracy,output2: 91.515
 * vail Accuracy,output1: 85.318 * vail  Accuracy,output2: 85.945
 * training Accuracy,output1: 93.495 * Accuracy,output2: 93.536
 * vail Accuracy,output1: 83.108 * vail  Accuracy,output2: 84.560
 * training Accuracy,output1: 94.136 * Accuracy,output2: 94.177
 * vail Accuracy,output1: 82.448 * vail  Accuracy,output2: 84.263
 * training Accuracy,output1: 94.251 * Accuracy,output2: 94.267
 * vail Accuracy,output1: 85.318 * vail  Accuracy,output2: 83.537
 * training Accuracy,output1: 94.661 * Accuracy,output2: 94.645
 * vail Accuracy,output1: 84.626 * vail  Accuracy,output2: 82.646
 * training Accuracy,output1: 95.220 * Accuracy,output2: 95.450
 * vail Accuracy,output1: 84.856 * vail  Accuracy,output2: 82.448
 * training Accuracy,output1: 95.376 * Accuracy,output2: 95.326
 * vail Accuracy,output1: 83.867 * vail  Accuracy,output2: 84.659
 * training Accuracy,output1: 94.226 * Accuracy,output2: 94.366
 * vail Accuracy,output1: 83.735 * vail  Accuracy,output2: 82.547
 * training Accuracy,output1: 95.047 * Accuracy,output2: 95.376
 * vail Accuracy,output1: 84.889 * vail  Accuracy,output2: 85.219
 * training Accuracy,output1: 95.984 * Accuracy,output2: 95.885
 * vail Accuracy,output1: 82.613 * vail  Accuracy,output2: 80.073
 * training Accuracy,output1: 96.049 * Accuracy,output2: 95.277
 * vail Accuracy,output1: 85.714 * vail  Accuracy,output2: 85.021
 * training Accuracy,output1: 96.739 * Accuracy,output2: 96.394
 * vail Accuracy,output1: 84.461 * vail  Accuracy,output2: 85.186
 * training Accuracy,output1: 98.357 * Accuracy,output2: 98.390
 * vail Accuracy,output1: 86.770 * vail  Accuracy,output2: 87.826
 * training Accuracy,output1: 98.817 * Accuracy,output2: 99.170
 * vail Accuracy,output1: 86.902 * vail  Accuracy,output2: 88.486
